Year,Name,Rate,,,,,,,,
2020,Ascension,56,,,,,,,,
2020,Caddo,48.7,,,,,,,,
2020,Calcasieu,55.8,,,,,,,,
2020,East Baton Rouge,46.2,,,,,,,,
2020,Iberville,70.8,,,,,,,,
2020,Jefferson,53.3,,,,,,,,
2020,Lafayette,53.5,,,,,,,,
2020,Ouachita,43.3,,,,,,,,
2020,Rapides,55.5,,,,,,,,
2020,St. Bernard,56,,,,,,,,
2020,Tangipahoa,45.7,,,,,,,,
2020,Terrebonne,68.9,,,,,,,,
2020,West Baton Rouge,90.1,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
