Month,Year,Name,Mean
January,2012,Rapides,6.845454545
February,2012,Rapides,4.911111111
March,2012,Rapides,7.490909091
April,2012,Rapides,6.744444444
May,2012,Rapides,11.60769231
June,2012,Rapides,10.96363636
July,2012,Rapides,8.463636364
August,2012,Rapides,8.6
September,2012,Rapides,9.58
October,2012,Rapides,8.82
November,2012,Rapides,9.96
December,2012,Rapides,4.133333333
January,2012,East Baton Rouge,10.27
February,2012,East Baton Rouge,8.027586207
March,2012,East Baton Rouge,7.661290323
April,2012,East Baton Rouge,8.842857143
May,2012,East Baton Rouge,12.19032258
June,2012,East Baton Rouge,11.1037037
July,2012,East Baton Rouge,9.744827586
August,2012,East Baton Rouge,9.933333333
September,2012,East Baton Rouge,10.46923077
October,2012,East Baton Rouge,10.01333333
November,2012,East Baton Rouge,10.69655172
December,2012,East Baton Rouge,8.139285714
January,2012,East Baton Rouge,12.5
February,2012,East Baton Rouge,7.1
March,2012,East Baton Rouge,6.5
April,2012,East Baton Rouge,7.9
May,2012,East Baton Rouge,13.9
June,2012,East Baton Rouge,12.56666667
July,2012,East Baton Rouge,6.4
August,2012,East Baton Rouge,11.45
September,2012,East Baton Rouge,7.9
October,2012,East Baton Rouge,6.4
November,2012,East Baton Rouge,7.4
December,2012,East Baton Rouge,8.4
January,2012,St. Bernard,13.3
February,2012,St. Bernard,7.82
March,2012,St. Bernard,7.56
April,2012,St. Bernard,13.2
May,2012,St. Bernard,13.8
June,2012,St. Bernard,10.28
July,2012,St. Bernard,7.82
August,2012,St. Bernard,8.14
September,2012,St. Bernard,11.04
October,2012,St. Bernard,9.66
November,2012,St. Bernard,9.833333333
December,2012,St. Bernard,13.83333333
January,2012,Ascension,8.327272727
February,2012,Ascension,8.733333333
March,2012,Ascension,7.281818182
April,2012,Ascension,10.69
May,2012,Ascension,12.46
June,2012,Ascension,11.27
July,2012,Ascension,7.5
August,2012,Ascension,8.527272727
September,2012,Ascension,9.48
October,2012,Ascension,10.12
November,2012,Ascension,10.9
December,2012,Ascension,6.99
January,2012,Tangipahoa,7.754545455
February,2012,Tangipahoa,6.544444444
March,2012,Tangipahoa,6.3375
April,2012,Tangipahoa,9.828571429
May,2012,Tangipahoa,11.68
June,2012,Tangipahoa,10.46666667
July,2012,Tangipahoa,8.777777778
August,2012,Tangipahoa,8.02
September,2012,Tangipahoa,10.06
October,2012,Tangipahoa,8.86
November,2012,Tangipahoa,9.414285714
December,2012,Tangipahoa,6.55
January,2012,Tangipahoa,10.4
February,2012,Tangipahoa,6.6
March,2012,Tangipahoa,4.95
April,2012,Tangipahoa,8.433333333
May,2012,Tangipahoa,12.75
June,2012,Tangipahoa,13.1
July,2012,Tangipahoa,7
August,2012,Tangipahoa,9.033333333
September,2012,Tangipahoa,9.266666667
October,2012,Tangipahoa,9.95
November,2012,Tangipahoa,9.2
December,2012,Tangipahoa,8.2
January,2012,Terrebonne,7.290909091
February,2012,Terrebonne,7.333333333
March,2012,Terrebonne,5.718181818
April,2012,Terrebonne,8.26
May,2012,Terrebonne,10.98
June,2012,Terrebonne,8.13
July,2012,Terrebonne,6.9
August,2012,Terrebonne,6.522222222
September,2012,Terrebonne,8.34
October,2012,Terrebonne,8.5
November,2012,Terrebonne,8.357142857
December,2012,Terrebonne,6.466666667
